index,kategori,subkategori,location/city,nama,deskripsi
240,Sponsor,Basic Industry & Chemicals,"Sentra Niaga Puri Indah Blok T2 No. 6-7
Kembangan Selatan, 
Jakarta - 11610
Phone: +62 21 583 02363
Fax: +62 21 583 02361
Email: rudy.sujanto@arwanacitra.com
www.arwanacitra.com",Arwana Citramulia,"PT Arwana Citramulia Tbk merupakan salah satu dari empat besar produsen keramik di Indonesia. Perusahaan memproduksi ubin keramik berbiaya rendah untuk melayani pasar segmen menengah bawah secara nasional. Berkantor pusat di Jakarta, Arwana menjual produknya melalui distributor tunggal dan anak perusahaan Primagraha Keramindo PGK serta lebih dari 40 sub distributor yang tersebar di kota kota besar dan kecil di Indonesia, bersama dengan ribuan gerai ritel. Perusahaan menguasai 20 persen pangsa pasar domestik di industri keramik Indonesia."
241,Sponsor,Basic Industry & Chemicals,"Jalan Pangeran Jayakarta No. 133
Jakarta - 10730
Phone: +62 21 624 2727
Fax: +6221 625 3059
Email: vae@essenza.co.id
www.essenza.com",Intikeramik Alamasri Industri,Intikeramik Alamasri Industri merupakan perusahaan yang berbasis di Indonesia yang bergerak dalam bidang pembuatan ubin porselen untuk pasar domestik dan internasional. Merek utama perusahaan adalah Essenza.
242,Sponsor,Basic Industry & Chemicals,"Graha Atrium 5th Floor
Jalan Senen Raya 135
Jakarta - 10410
Phone: +62 21 386 2322
Fax: +62 21 352 2071
Email: corsec@kiaceramics.com
www.kiaceramics.com",Keramika Indonesia Assosiasi,"PT Keramika Indonesia Assosiasi Tbk adalah produsen keramik dinding, lantai dan atap serta aksesoris yang berbasis di Indonesia yang dikenal dengan merek KIA, IMPRESSO dan SPECTRA. Pabrik perseroan berlokasi di Jawa Barat dan Timur."
243,Sponsor,Basic Industry & Chemicals,"UGM Building Samator Pendidikan, 
Tower A, 5-6 Floor
Jalan Dr. Sahardjo No.83, 
Manggarai, Tebet 
Jakarta - 12850
Phone: +62 21 8370 9111
Fax: +62 21 8370 9911
rachmat@anekagas.com
www.anekagas.com",Aneka Gas Industri,"PT Aneka Gas Industri Tbk adalah perusahaan gas industri yang berbasis di Indonesia. Bisnis utamanya adalah penyediaan gas industri, termasuk gas udara oksigen, nitrogen, dan argon , gas sintetis, bahan bakar gas, gas langka, gas sterilisasi, gas pendingin, dan gas elektronik. Perusahaan ini memiliki jaringan distribusi gas terbesar di Indonesia."
244,Sponsor,Basic Industry & Chemicals,"Jalan Pulo Gadung No. 4 
Kawasan Industri Pulogadung
Jakarta - 13930
Phone: +62 21 526 5490
Fax: +62 21) 460 3574
Email: alakasa@indosat.net.id
www.alakasa.co.id",Alakasa Industrindo,"PT Alakasa Industrindo Tbk merupakan perusahaan yang berbasis di Indonesia yang bergerak dalam industri aluminium, beroperasi terutama melalui anak perusahaannya Alakasa Extrusindo industri ekstrusi aluminium , Alakasa Company Limited perdagangan bahan baku aluminium , Alakasa Karbon Industri industri karbon , dan Alakasa Alumina Refineri serta Indonesia Alumina Refinery Limited kilang alumina ."
245,Sponsor,Basic Industry & Chemicals,"Kompleks Industri Maspion Unit I
Sawotratap, Gedangan
Sidoarjo - 61254
Phone: +6231 853 1531
Fax: +6231 853 2608
Email: cs@alumindo.com
www.alumindo.com",Alumindo Light Metal Industry,PT Alumindo Light Metal Industry Tbk merupakan perusahaan yang berbasis di Indonesia yang bergerak dalam industri aluminium. Perusahaan ini merupakan produsen aluminium lembaran datar terbesar di Asia Tenggara.
246,Sponsor,Basic Industry & Chemicals,"Jalan Pahlawan, Karang Asem
Citeureup, Bogor - 16810
Phone: +62 21 875 2707
Fax: +62 21 875 2248
Email: theo@arghakarya.com
www.arghakarya.com",Argha Karya Prima Industry,"PT Argha Karya Prima Industry Tbk adalah produsen film kemasan fleksibel yang berbasis di Indonesia untuk keperluan industri dan barang konsumsi, seperti rokok, produk makanan, kertas laminasi, dan pita perekat."
247,Sponsor,Basic Industry & Chemicals,"Menara Imperium 10th Floor Suite D
Jalan H.R. Rasuna Said Kav. 1
Jakarta - 12980
Phone: +62 21 835 4111
Fax: +62 21 835 4113
Email: sec@asiaplast.co.id
www.asiaplast.co.id",Asiaplast Industries,PT Asiaplast Industries Tbk merupakan perusahaan yang berbasis di Indonesia yang bergerak dalam pembuatan polivinil klorida PVC .
248,Sponsor,Basic Industry & Chemicals,"Jalan Abdul Muis No. 30
Jakarta - 10160
Phone: +62 21 344 1316
Fax: +62 21 345 7643
Email: ongko@fajarpaper.com
www.fajarpaper.co.id",Fajar Surya Wisesa,"PT Fajar Surya Wisesa Tbk juga dikenal sebagai FajarPaper adalah produsen kertas kemasan terkemuka di Indonesia, yang menguasai pangsa pasar sekitar 30 persen di industri papan peti kemas di Indonesia."
249,Sponsor,Basic Industry and Chemicals,"Jalan Ancol VIII No. 1
Jakarta 14430
Phone: +62 21 691 9999
Fax: 62 21 690 7324
Email: hadijanto@cp.co.id
www.cp.co.id",Charoen Pokphand Indonesia,"PT Charoen Pokphand Indonesia adalah produsen pakan unggas, ayam umur sehari, dan ayam olahan terbesar di Indonesia. Bisnis intinya adalah agrobisnis, khususnya pembuatan pakan unggas. Perusahaan ini mempunyai pangsa pasar yang mendominasi sekitar 35 persen baik pada bisnis anak ayam umur sehari DOC maupun industri pakan unggas."
250,Sponsor,Basic Industry and Chemicals,"Wisma Millenia, 7th Floor
Jalan Letjend. M.T. Haryono Kav. 16
Jakarta - 12810
Phone: +62 21 831 0308
Fax: +62 21 831 0309
Email: christine@japfacomfeed.co.id
www.japfacomfeed.co.id",Japfa Comfeed Indonesia,"PT Japfa Comfeed Indonesia Tbk adalah salah satu perusahaan pertanian pangan terbesar dan paling terintegrasi di Indonesia. Kegiatan bisnis intinya meliputi produksi pakan ternak, peternakan ayam, pengolahan unggas, serta budidaya perikanan."
251,Sponsor,Basic Industry and Chemicals,"Jalan RS. Fatmawati No. 39, Komplek Duta Mas Fatmawati
Blok A1, No. 30-31, Cipete Utara, Kebayoran Baru, 
South Jakarta - 12150
Phone: +62 21 722 8383
Fax: +62 21 723 7778
Email: bibitindo@malindofeedmill.co.id
malindofeedmill.com",Malindo Feedmill,"PT Malindo Feedmill Tbk merupakan perusahaan Indonesia yang memproduksi dan menjual pakan ternak unggas , khususnya pakan ternak ayam pedaging, pakan ayam petelur, pakan ayam petelur dan pakan Day Old Chicks DOC komersial. Perusahaan ini merupakan salah satu produsen pakan ternak terbesar di Indonesia, menguasai pangsa pasar sebesar 8 persen. Pada akhir tahun 2014, total kapasitas produksi DOC tahunan perusahaan adalah 210 juta, sedangkan kapasitas produksi pakan sekitar 9000 metrik ton per tahun."
252,Sponsor,Basic Industry and Chemicals,"Menara Jamsostek
North Tower 15th floor 
Jalan Gatot Subroto No. 38
DKI Jakarta
Phone: +62 21 529 62011
Fax: +62 21 529 62030
Email: esther.makainas@holcim.com
www.holcim.co.id",Holcim Indonesia,"PT Holcim Indonesia Tbk merupakan produsen semen terbesar ketiga di Indonesia. Perusahaan ini merupakan penyedia bahan bangunan dan jasa berbahan dasar semen yang beroperasi di dua negara, Indonesia dan Malaysia. Perusahaan ini menyediakan sepuluh jenis semen, beton, dan agregat yang terintegrasi dari dua lokasi produksi utamanya di pulau Jawa. Saat ini perseroan menguasai pangsa pasar sekitar 14 di Indonesia dari penjualan semen dalam negeri."
253,Sponsor,Basic Industry and Chemicals,"Wisma Indocement, 8th Floor
Jalan Jenderal Sudirman Kav. 70-71 
Jakarta - 12910
Phone: +62 21 251 2121
Fax: +62 21 251 0066
Email: corpsec@indocement.co.id
www.indocement.co.id",Indocement Tunggal Prakarsa,"PT Indocement Tunggal Prakarsa Tbk Indocement merupakan produsen semen terbesar kedua di Indonesia berdasarkan pangsa pasar. Operasional Indocement tersebar di pabrik pabrik di Jawa Barat dan Kalimantan Selatan, yang berjumlah total 13 pabrik. Pabrik Citeureup di Bogor Jawa Barat saat ini merupakan salah satu pabrik semen terbesar di dunia dan mengoperasikan sembilan pabrik dengan kapasitas desain terpasang tahunan sebesar 11,9 juta ton semen."
254,Sponsor,Basic Industry and Chemicals,"Gedung Graha Irama 9th Floor Block B dan C
 Jalan H.R. Rasuna Said Kav. 10
 Jakarta - 12950
 Phone: +62 21 526 1113
 Fax: +62 21 526 1411
 Email: sekper@semenbaturaja.co.id
 www.semenbaturaja.co.id",Semen Baturaja,"PT Semen Baturaja Tbk merupakan produsen semen yang berbasis di Indonesia yang memproduksi dua jenis semen Semen Portland Biasa dan Semen Portland Komposit. Pusat produksi perusahaan berlokasi di Baturaja Sumatera Selatan , sedangkan penggilingan dan pengepakan semen dilakukan di Baturaja, Palembang Sumatera Selatan dan Panjang."
255,Sponsor,Basic Industry and Chemicals,"Semen Gresik Building
Jalan Veteran, Gresik, 
Surabaya - 61122
Phone: +62 31 398 1731 3
Fax: +62 31 398 3209
Email: corp.sec@sg.sggrp.com
www.semenindonesia.com",Semen Indonesia,"PT Semen Indonesia Tbk, yang sebelumnya bernama Semen Gresik, merupakan produsen semen terbesar di Indonesia. Perseroan memiliki pabrik semen di Pulau Jawa, Sumatera, dan Sulawesi yang semuanya didukung oleh jaringan distribusi yang menjangkau seluruh tanah air. Perusahaan ini memegang pangsa pasar terbesar sekitar 40 persen dalam hal penjualan semen domestik di Indonesia. Semen Indonesia merupakan badan usaha milik negara pertama yang go public di Bursa Efek Jakarta dan Bursa Efek Surabaya keduanya bergabung menjadi Bursa Efek Indonesia pada tahun 2007 ."
256,Sponsor,Basic Industry and Chemicals,"Kedoya Elok Plaza Blok DD/71
Jalan Panjang Kedoya
West Jakarta - 11520
Phone: +62 21 581 3058
Fax: +62 21 581 3061
Email: corsec@ekadharma.com
www.ekadharma.com",Ekadharma International,PT Ekadharma International Tbk adalah pemimpin pasar dalam industri pita perekat di Indonesia. Perusahaan memiliki 16 cabang dan lima stock point di seluruh Indonesia.
257,Sponsor,Basic Industry and Chemicals,"Chase Plaza, 11th Floor
Jalan Jenderal Sudirman Kav. 21
Jakarta - 12920
Phone: +62 21 259 89838
Fax: +62 21 259 89839
Email: corsec@eterindo.com
www.eterindo.com",Eterindo Wahanatama,PT Eterindo Wahanatama Tbk adalah produsen dan pedagang produk biodiesel dan kimia yang berbasis di Indonesia. Perusahaan ini memiliki perkebunan kelapa sawit di Kalimantan Barat.
258,Sponsor,Basic Industry and Chemicals,"Jalan Raya Krikilan No. 434 Km. 28
Driyorejo, Gresik
Phone: +62 31 749 0598
Fax: +62 31 749 0581
Email: secretary@bjm.co.id
www.bjm.co.id",Betonjaya Manunggal,PT Betonjaya Manunggal Tbk merupakan perusahaan Indonesia yang bergerak di bidang industri besi dan baja. Perusahaan memproduksi baja batangan bulat mulai dari ukuran 6 mm hingga 12 mm dengan total kapasitas terpasang sebesar 30.000 ton batangan bulat per tahun. Betonjaya Manunggal adalah anggota Grup Baja Gunawan.
259,Sponsor,Basic Industry and Chemicals,"Wisma Metropolitan I, 11th Floor
Jalan Jendral Sudirman Kav. 29
Jakarta
Phone: +62 21 653 18447
Fax: +62 21 571 2317
Email: hsn@citratubindo.com
www.citratubindo.com",Citra Tubindo,PT Citra Tubindo Tbk adalah produsen dan penyedia layanan barang tubular ladang minyak di industri minyak gas dan pertambangan di Indonesia.
260,Sponsor,Basic Industry and Chemicals,"Jalan Margamulyo No. 4, Tandes
Surabaya - 60186
Phone: +62 31 749 0940
Fax: +62 31 749 1714
Email: jayapari@rad.net.id
www.jayaparisteel.co.id",Jaya Pari Steel,"PT Jaya Pari Steel Tbk adalah produsen besi dan baja Indonesia. Perusahaan ini memulai operasi komersialnya dengan fokus pada pemotongan kumparan canai panas, namun kemudian diperluas dengan memproduksi pelat baja canai panas. Apalagi Jaya Pari Steel merupakan salah satu produsen pelat baja swasta pertama di Indonesia. Perusahaan fokus pada pasar domestik Indonesia."
261,Sponsor,Basic Industry and Chemicals,"Jalan Industri No. 5, PO. Box 14, Cilegon
Banten - 42435
Phone: +62 254 392 159
Fax: +62 254 372 246
Email: corsec@krakatausteel.com
www.krakatausteel.com",Krakatau Steel,"PT Krakatau Steel merupakan perusahaan milik negara Indonesia yang bergerak di bidang industri baja. Perusahaan ini merupakan produsen baja terbesar di Indonesia dan memproduksi berbagai produk baja, seperti gulungan canai panas dan dingin serta batang kawat."
262,Sponsor,Basic Industry and Chemicals,"Gedung Krakatau Steel 3rd Floor
Jalan Jenderal Gatot Subroto Kav. 54
Jakarta - 12950
Phone: +21 520 9883
Fax: +21 521 0079
Email: sekper@latinusa.co.id
www.latinusa.co.id",Pelat Timah Nusantara,"PT Pelat Timah Nusantara Tbk lebih dikenal dengan Latinusa adalah perusahaan Indonesia yang memproduksi pelat timah. Perusahaan memproduksi semua jenis tinplate dengan standar ASTM, JIS, ISO, dan Euronom."
263,Sponsor,Basic Industry and Chemicals,"Jalan Kalibutuh 189-191
 Surabaya - 60173
 Phone: +62 31 532 0921
 Fax: +62 31 531 0712
 Email: marketing@spindo.co.id
 www.spindo.com",Steel Pipe Industry of Indonesia,"PT Steel Pipe Industry of Indonesia Tbk adalah produsen pipa dan tabung baja yang berbasis di Indonesia serta produk terkait lainnya. Di pasar pipa baja dalam negeri, perusahaan yang memiliki kapasitas produksi pipa baja terbesar di Indonesia menguasai pangsa pasar sebesar 30 ."
264,Sponsor,Basic Industry and Chemicals,"Wisma Indocement, 5th Floor
Jalan Jenderal Sudirman Kav. 70-71
Jakarta
Phone: +62 21 251 0088
Fax: +62 21 522 4001
Email: corpsec@indopoly.co.id
www.ilenefilms.com",Indopoly Swakarsa Industry,PT Indopoly Swakarsa Industry Tbk adalah perusahaan manufaktur kemasan fleksibel terkemuka di Indonesia. Perusahaan ini memproduksi berbagai macam film Polipropilena Berorientasi Biaksial BOPP dan Poliester Berorientasi Biaksial BOPET untuk industri pengemasan fleksibel. Indopoly memiliki dua anak perusahaan di Tiongkok Yunnan Kunlene Film Industries Co Ltd YKFI dan Suzhou Kunlene Film Industries Co Ltd SKFI .
265,Sponsor,Basic Industry and Chemicals,"Kawasan Industri Cimareme
Jalan Industri Cimareme II No. 14
Padalarang, West Bandung - 40553
Phone: +62 22 601 1220
Fax: +62 22 603 6489
Email: kuswara@alkindo.co.id
www.alkindo.co.id",Alkindo Naratama,"PT Alkindo Naratama Tbk adalah produsen produk kertas yang dikonversi di Indonesia, termasuk tabung kertas, pelindung tepi, palet kertas, papan sisir madu, dan inti kertas. Perusahaan yang memiliki dua pabrik di Cimareme Jawa Barat ini merupakan produsen tabung kertas terbesar di Indonesia."
266,Sponsor,Basic Industry and Chemicals,"Jalan Mastrip 862
Warugunung-Karangpilang
Surabaya
Phone: +62 31 766 1983
Fax: +62 31 766 1981
Email: corsec@kedawungsetia.com
www.kedawungsetia.com",Kedawung Setia Industrial,PT Kedawung Setia Industrial Tbk merupakan perusahaan yang berbasis di Indonesia yang memproduksi produk rumah tangga terutama peralatan enamel .
267,Sponsor,Basic Industry and Chemicals,"Menara Rajawali Floor 6
Jalan DR. Ide Anak Agung Gde Agung Lot 5.1
Kawasan Mega Kuningan
Jakarta - 12950
Phone: +62 21 576 2612
Fax: +62 21 576 2619
Email: tiur@kbri.co.id
www.kbri.co.id",Kertas Basuki Rachmat Indonesia,"PT Kertas Basuki Rachmat Indonesia Tbk merupakan perusahaan Indonesia yang memproduksi dan mendistribusikan kertas. Perusahaan ini mempunyai satu anak perusahaan, Kertas Basuki Rachmat, yang memproduksi kertas HVS dan CD."
268,Sponsor,Construction,"Gedung JW
Jalan Raya Jatiwaringin no. 54, Pondok Gede
Bekasi - 17411
Phone: +62 21 8497 3363
Fax: +62 21 8497 3391
Email: wbcc@wika-beton.co.id
www.wika-beton.co.id",Wijaya Karya Beton,"PT Wijaya Karya Beton Tbk Wika Beton adalah produsen beton pracetak yang berbasis di Indonesia. Perusahaan tersebut merupakan anak perusahaan perusahaan konstruksi milik negara Wijaya Karya Wika . Perusahaan memproduksi produk beton seperti tiang pancang beton pratekan, produk gelagar jembatan, pipa, rel kereta api, bantalan bantalan, produk beton dinding penahan tanah, produk struktur hidro, dan produk beton bangunan."
269,Sponsor,Consumer Goods,"Datascrip Building 9th Floor,
Jalan Selaparang, Blok B15 Kav 9,
Komplek Kemayoran,
Jakarta - 10610
Phone: +62 21 6545 422
Email: peter.chayson@kino.co.id
www.kino.co.id",Kino Indonesia,PT Kino Indonesia Tbk adalah perusahaan yang berbasis di Indonesia yang bergerak di sektor barang konsumen yang bergerak cepat dengan ruang lingkup bisnis mulai dari perawatan kulit dan farmasi hingga makanan dan minuman.
270,Sponsor,Consumer Goods,"Graha Unilever
Green Office Park Kav. 3
Jalan BSD Boulevard Barat
BSD City, Tangerang - 15345
Phone: +62 21 8082 7000
Fax: +62 21 8082 7002
Email: unvr.indonesia@unilever.com
www.unilever.co.id",Unilever Indonesia,"PT Unilever Indonesia Tbk adalah salah satu produsen barang konsumen terbesar di Indonesia. Portofolio produk perawatan rumah pribadi serta makanan minuman perusahaan terdiri dari berbagai merek ternama, seperti Wall s, Lifebuoy, Vaseline, Pepsodent, Rinso, Blue Band, Dove, Rexona, dan Clear. Perusahaan yang 85 persen sahamnya dimiliki oleh perusahaan induk asal Belanda ini merupakan salah satu perusahaan terbesar dalam hal kapitalisasi pasar di Bursa Efek Indonesia."
271,Sponsor,Consumer Goods,"Jalan Industri III No. 5 
Leuwigajah, Cimahi
West Java
Phone: +62 226 031900
Fax: +62 226 031855
www.chitose-indonesia.com",Chitose Internasional,"PT Chitose Internasional Tbk adalah produsen furnitur berbasis di Indonesia yang berfokus pada produksi furnitur baja kursi untuk hotel, restoran, sekolah dan kantor dan tempat tidur menyusui."
272,Sponsor,Consumer Goods Industry,"Jalan Yos Sudarso By Pass
PO BOX 1072
North Jakarta - 14010
Phone: +62 21 651 0061
Fax: +62 21 651 0069
Email: corporatesecretary@mandom.co.id
www.mandom.co.id",Mandom Indonesia,"PT Mandom Indonesia Tbk merupakan perusahaan yang berbasis di Indonesia yang bergerak dalam produksi produk perawatan rambut, wewangian dan kosmetik. Perusahaan ini didirikan sebagai perusahaan patungan bernama Tancho Indonesia yang dibentuk oleh Mandom Corporation Jepang dan City Factory. Pada tahun 2001, perusahaan berganti nama menjadi Mandom Indonesia. Perusahaan memiliki dua pabrik satu di Sunter memproduksi produk kosmetik dan satu lagi di Cibitung memproduksi kemasan plastik sekaligus sebagai pusat logistik ."
273,Sponsor,Consumer Goods Industry,"Jalan Rungkut Industri II/15-17,
Tenggilis Mejoyo, Tenggilis Mejoyo,
Surabaya, Indonesia
Phone: +62 31 843 2247
Fax: +62 31 843 9232
Email: corsec@campina.co.id
www.campina.co.id",Campina Ice Cream Industry,"PT Campina Ice Cream Industry Tbk adalah perusahaan yang berbasis di Indonesia yang memproduksi es krim di pabriknya di Surabaya Jawa Timur . Perusahaan ini memproduksi stik es krim tunggal yang menyumbang sekitar 70 persen penjualan perusahaan , kemasan es krim keluarga dengan isi hingga satu liter dan kemasan untuk keperluan industri dengan isi hingga 8 liter ."
274,Sponsor,Consumer Goods Industry,"Kompleks Central Square Blok C-1
Jalan Raya A. Yani 41-43
Gedangan Sidoarjo - 61254
Phone: +62 31 854 4400
Fax: +62 31 854 4574
Email: corsec@tanobelfood.com
www.cleopurewater.com",Sariguna Primatirta,PT Sariguna Primatirta Tbk merupakan perusahaan yang berbasis di Indonesia yang memproduksi air minum kemasan dengan merek seperti Cleo dan Anda.
275,Sponsor,Consumer Goods Industry,"Perkantoran Hijau Arkadia Tower C Floor 15
Jalan T.B. Simatupang Kav. 88
Jakarta - 12520
Phone: +62 21 275 45000
Fax: +62 21 788 45549
Email: csecretary@akasha.co.id
www.akashainternational.com",Akasha Wira International,"PT Akasha Wira International Tbk sebelumnya dikenal sebagai Ades Waters Indonesia bergerak dalam produksi dan distribusi air minum dalam kemasan dan produk perawatan kecantikan di Indonesia. Perusahaan saat ini memproduksi dan memasarkan air minum dalam kemasan dengan merek dagang AdeS dan AdeS Royal dimiliki oleh Coca Cola Company , Nestl Pure Life dimiliki oleh Nestl SA , dan Vica Royal."
276,Sponsor,Consumer Goods Industry,"Kawasan Industri Jababeka II
Jalan Industri Selatan 3 Blok GG, No. 1
Cikarang, Bekasi 17550
Phone: +62 21 8983 0004
Fax: +62 21 893 7143
Email: yadi@cahayakalbar.com
www.cahayakalbar.com",Cahaya Kalbar,"PT Cahaya Kalbar Tbk adalah produsen makanan Indonesia. Perusahaan ini memproduksi berbagai macam bahan industri makanan dan industri gula gula. Produk produk tersebut kemudian dipasok ke industri restoran dan hotel, industri kue roti, industri confectionery, serta industri grosir atau eceran baik untuk pasar lokal maupun internasional."
277,Sponsor,Consumer Goods Industry,"Jalan Inspeksi Tarum Barat, Desa Setiadharma
Bekasi - 17510
Phone: +62 21 882 2520
Fax: +62 21 881 9424
Email: avfernandez@deltajkt.co.id
www.deltajkt.co.id",Delta Djakarta,"PT Delta Djakarta Tbk merupakan perusahaan yang bergerak dalam industri minuman di Indonesia. Ini adalah produsen dan distributor bir seperti merek dagang Anker, Carlsberg, San Miguel dan Kuda Putih. Selain minuman beralkohol, juga bergerak di industri non alkohol dengan merek Sodaku dan Soda Ice. Perusahaan juga memproduksi dan mengekspor bir Pilsner dengan merek Batavia ."
278,Sponsor,Consumer Goods Industry,"Sudirman Plaza, Indofood Tower, 26th Floor
Jalan Jenderal Sudirman Kav. 76-78 
Jakarta - 12910
Phone: +62 21 5795 8822
Fax: +62 21 5793 7373
Email: elly.putranti@icbp.indofood.co.id
www.indofoodcbp.com",Indofood CBP Sukses Makmur,"PT Indofood CBP Sukses Makmur Tbk ICBP adalah produsen terkemuka produk makanan kemasan yang menyediakan solusi makanan sehari hari bagi konsumen segala usia. ICBP merupakan hasil restrukturisasi internal grup produk konsumen bermerek CBP di induk perusahaan Indofood Sukses Makmur. Melalui restrukturisasi internal, seluruh operasional bisnis departemen CBP Indofood, yang terdiri dari mie, susu, penyedap makanan, makanan ringan, nutrisi dan makanan khusus, serta biskuit sebelumnya berada di bawah Grup Bogasari , dialihkan ke Indofood CBP Sukses Makmur."
279,Sponsor,Consumer Goods Industry,"Sudirman Plaza, Indofood Tower 27th Floor
Jalan Jenderal Sudirman Kav. 76-78 
Jakarta 12190
Phone: +62 21 5795 8822
Fax: +62 21 5793 7373
Email: werianty@indofood.co.id
www.indofood.com",Indofood Sukses Makmur,"Indofood Sukses Makmur Tbk Indofood adalah perusahaan yang beroperasi di setiap tahapan proses produksi makanan di Indonesia mulai dari produksi bahan mentah dan pengolahannya hingga produk akhir konsumen di rak pengecer. Indofood adalah perusahaan pengolahan makanan terbesar di Indonesia dan produsen mie instan terbesar di dunia. Perusahaan ini merupakan bagian dari Salim Group, konglomerat terbesar di Indonesia, yang didirikan oleh Sudono Salim."
280,Sponsor,Consumer Goods Industry,"Mayora Building
Jalan Tomang Raya No. 21-23
Jakarta 11440
Phone: +62 21 565 5320
Fax: +62 21 565 5323
Email: Hermawan@mayora.co.id
www.mayora.com",Mayora Indah,"PT Mayora Indah Tbk adalah produsen makanan Indonesia. Perusahaan ini memiliki enam lini produk biskuit, permen, wafer, coklat, kopi, dan makanan sehat. Beberapa merek ternama yang diproduksi perusahaan antara lain Kopiko, Danisa, Astor, Energen dan Torabika. Produk Mayora Indah diekspor ke berbagai negara di dunia, antara lain Tiongkok, Amerika Serikat, Jepang, dan Jerman."
281,Sponsor,Consumer Goods Industry,"Jalan Daan Mogot Km. 19
Tangerang - 15122
Phone: +62 21 545 0750
Fax: +62 21 619 0190
Email: eka_lesdiana@multibintang.co.id
www.multibintang.co.id",Multi Bintang Indonesia,"PT Multi Bintang Indonesia Tbk adalah produsen minuman yang berbasis di Indonesia, paling terkenal dengan birnya perusahaan ini adalah pembuat bir terkemuka , termasuk merek Bintang. Perusahaan memiliki brewery di Surabaya, Tangerang, dan Sampang Agung. Selain bir Bintang, perusahaan juga memproduksi dan memasarkan Heineken, Bintang Zero bir bebas alkohol dan minuman ringan berkarbonasi Green Sands di Indonesia."
282,Sponsor,Consumer Goods Industry,"Wisma GKBI Suite 1217
Jalan Jenderal Sudirman No. 28
Jakarta - 10210
Phone: +62 21 522 3715
Email: alex.chin@sariroti.com
www.sariroti.com",Nippon Indosari Corpindo,PT Nippon Indosari Corpindo Tbk adalah produsen produk roti terbesar di Indonesia dan merupakan satu satunya perusahaan produsen roti di negara ini yang terdaftar di Bursa Efek Indonesia BEI . Perusahaan ini telah menunjukkan pertumbuhan yang pesat dalam beberapa tahun terakhir karena meningkatnya konsumsi produk roti oleh meningkatnya jumlah kelas menengah di Indonesia. Nippon Indosari menguasai 90 persen pangsa pasar produksi massal produk roti di Indonesia. Produk roti Sari Roti merupakan brand ternama di Indonesia.
283,Sponsor,Consumer Goods Industry,"Jalan Krt. Wongsonegoro No. 39 
Kelurahan Wonosari 
Kecamatan Ngaliyan 
Semarang - 50186 
Central Java, Indonesia
Phone: +62 248 661 860
Fax: +62 248 661 861
Email: cs@pcafoods.com
www.pcafoods.com",Prima Cakrawala Abadi,"PT Prima Cakrawala Abadi Tbk merupakan perusahaan yang berbasis di Indonesia yang bergerak dalam bidang pengolahan dan distribusi produk makanan laut, seperti kepiting, ikan, dan udang. Produk makanan lautnya terdiri dari makanan segar, pasteurisasi, dan beku. Fasilitas produksi perseroan berada di Semarang Jawa Tengah , Indramayu Jawa Barat , dan Makassar Sulawesi ."
284,Sponsor,Consumer Goods Industry,"Wisma Alun Graha 1st Floor, Suite 110
Jalan Prof. Dr. Soepomo No. 233
South Jakarta - 12870
Phone: +62 21 831 8775
Fax: +62 21 835 1215
Email: info@tigapilar.com
www.tigapilar.com",Tiga Pilar Sejahtera Food,"PT Tiga Pilar Sejahtera Food Tbk merupakan perusahaan Indonesia yang bergerak di bidang makanan. Perusahaan ini memiliki tiga segmen usaha utama pengolahan makanan, pengolahan beras, dan kelapa sawit. Perusahaan ini merupakan pemimpin pasar di Indonesia untuk bihun kering dan mie kering. Produk pangan lainnya antara lain biskuit, permen, dan makanan ringan."
285,Sponsor,Consumer Goods Industry,"Kp. Pasir Dalem RT. 02 RW. 09
Desa Babakan Pari, Kecamatan Cidahu
Kabupaten Sukabumi, West Java
Phone: +62 266 735 813
Fax: +62 266 731 319
Email: corsec@altospringswater.com
www.altospringswater.com",Tri Banyan Tirta,PT Tri Banyan Tirta Tbk merupakan perusahaan asal Indonesia yang memproduksi air mineral alami dengan merek ALTO Natural Spring Water. Perusahaan menargetkan menjadi grup terdiversifikasi minuman terbesar di Indonesia. Pabrik air ini terletak di Sukabumi Jawa Barat .
286,Sponsor,Consumer Goods Industry,"Jalan Raya Cimareme 131 
Padalarang - 40552 
Kabupaten West Bandung
Phone: +62 22 867 00700
Fax: +62 22 665 4612
Email: admin@ultrajaya.co.id
www.ultrajaya.co.id",Ultrajaya Milk Industry,"PT Ultrajaya Milk Industry Trading Company Tbk Ultrajaya Milk adalah salah satu produsen produk makanan dan minuman terkemuka di Indonesia. Perusahaan ini merupakan produsen produk susu aseptik terkemuka di negara ini dan memproduksi minuman dengan beberapa merek terkenal seperti Ultra Milk, Teh Kotak, Sari Kacang Ijo, Sari Asem Asli, serta beberapa minuman lainnya untuk tujuan ekspor. Pada tahun 1970an, Ultrajaya Milk memperkenalkan teknologi pengolahan Ultra High Temperature UHT kepada industri minuman Indonesia serta teknis pengemasan dalam kemasan karton aseptik."
